gene_id_x,snp_count,exon_length,snp_density,gene_id_norm_x,gene_id_mapped,gene_id_y,expression,gene_id_norm_y
rna-NM_001297796.1,77,5089,0.015130674002751032,NM_001297796,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001297795.1,77,5083,0.015148534330120008,NM_001297795,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001103385.2,77,5082,0.015151515151515152,NM_001103385,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001103386.2,77,5012,0.015363128491620111,NM_001103386,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001169155.1,63,4254,0.014809590973201692,NM_001169155,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001297797.1,56,3824,0.014644351464435146,NM_001297797,FBgn0025836,FBgn0025836,17.142292490118578,FBgn0025836
rna-NM_001382036.1,41,3891,0.010537136982780776,NM_001382036,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001297801.1,41,3612,0.011351052048726468,NM_001297801,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001297799.1,39,3521,0.011076398750355012,NM_001297799,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001297798.1,47,4526,0.0103844454264251,NM_001297798,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001038726.2,37,3286,0.01125989044430919,NM_001038726,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001031861.2,32,2903,0.011023079572855667,NM_001031861,FBgn0284435,FBgn0284435,10.688142292490118,FBgn0284435
rna-NM_001297803.1,44,1751,0.025128498001142203,NM_001297803,FBgn0040373,FBgn0040373,29.387351778656125,FBgn0040373
rna-NM_166834.2,41,1630,0.025153374233128835,NM_166834,FBgn0040373,FBgn0040373,29.387351778656125,FBgn0040373
rna-NM_130477.4,43,1731,0.02484113229347198,NM_130477,FBgn0040373,FBgn0040373,29.387351778656125,FBgn0040373
rna-NM_001272159.1,126,7235,0.01741534208707671,NM_001272159,FBgn0040372,FBgn0040372,124.84189723320158,FBgn0040372
rna-NM_130478.3,115,6538,0.017589476904252065,NM_130478,FBgn0040372,FBgn0040372,124.84189723320158,FBgn0040372
